SCO0002	GO:0003677;GO:0005524;GO:0016787
SCO1101	GO:0004222;GO:0006508
SCO1103	GO:0008152;GO:0016787
SCO1104	GO:0003677
SCO1108	GO:0003700;GO:0006355
SCO1109	GO:0003824;GO:0010181;GO:0016491;GO:0055114
SCO1110	GO:0005576;GO:0030570
SCO1112	GO:0003995;GO:0008152;GO:0016627;GO:0055114
SCO1113	GO:0005515
SCO1114	GO:0004844;GO:0006281;GO:0006284;GO:0016799
SCO1117	GO:0005515
SCO1119	GO:0003700;GO:0005622;GO:0006355;GO:0043565
SCO1120	GO:0008152;GO:0016787
SCO1126	GO:0009247;GO:0016758
SCO1127	GO:0016491
SCO1129	GO:0003824;GO:0005975;GO:0016810
SCO1130	GO:0003824
SCO1132	GO:0016491;GO:0055114
SCO1133	GO:0003824;GO:0016491;GO:0016614;GO:0050660;GO:0055114
SCO1134	GO:0009055;GO:0016491;GO:0046872;GO:0051536;GO:0051537;GO:0055114
SCO1135	GO:0003677
SCO1136	GO:0000160;GO:0001071;GO:0003677;GO:0005737;GO:0009605
SCO1137	GO:0000155;GO:0000160;GO:0007165;GO:0016310;GO:0016772
SCO1138	GO:0030288
SCO1142	GO:0016491;GO:0055114
SCO1143	GO:0003676
SCO1144	GO:0005524;GO:0006810;GO:0016021;GO:0016887;GO:0042626;GO:0055085
SCO1145	GO:0003700;GO:0006355
SCO1147	GO:0005524;GO:0006810;GO:0016021;GO:0016887;GO:0042626;GO:0055085
SCO1148	GO:0005524;GO:0006810;GO:0016021;GO:0016887;GO:0042626;GO:0055085
SCO1150	GO:0003735;GO:0005622;GO:0005840;GO:0006412
SCO1152	GO:0003676;GO:0005524
SCO1156	GO:0004733;GO:0010181;GO:0016491;GO:0055114
SCO1162	GO:0008152;GO:0008168
SCO1167	GO:0005524
SCO1169	GO:0005975;GO:0009045;GO:0042732
SCO1170	GO:0004856;GO:0005975;GO:0005997;GO:0016773
SCO1172	GO:0008745;GO:0009253
SCO1173	GO:0005515
SCO1174	GO:0008152;GO:0016491;GO:0016620;GO:0055114
SCO1175	GO:0008152;GO:0016787
SCO1176	GO:0003824;GO:0008152
SCO1177	GO:0003700;GO:0006355
SCO1180	GO:0003677;GO:0003887;GO:0006260;GO:0006355;GO:0008408;GO:0009360
SCO1183	GO:0005524;GO:0016887
SCO1186	GO:0003677;GO:0006355
SCO1187	GO:0000272;GO:0004553;GO:0005975;GO:0008810;GO:0030246;GO:0030247
SCO1188	GO:0004553;GO:0005975;GO:0030246;GO:0030247
SCO1190	GO:0006810;GO:0016021;GO:0055085
SCO1191	GO:0003700;GO:0006355
SCO1193	GO:0003677
SCO1194	GO:0006810;GO:0016021;GO:0055085
SCO1196	GO:0006629;GO:0008081
SCO1197	GO:0008152;GO:0016627;GO:0050660;GO:0055114
SCO1198	GO:0003995;GO:0008152;GO:0016627;GO:0050660;GO:0055114
SCO1199	GO:0008270;GO:0016491;GO:0055114
SCO1200	GO:0003677;GO:0043565
SCO1201	GO:0016491;GO:0055114
SCO1202	GO:0003677;GO:0003909;GO:0003910;GO:0005524;GO:0006281;GO:0006310;GO:0051103;GO:0071897
SCO1203	GO:0016787
SCO1204	GO:0008152;GO:0016491;GO:0016620;GO:0055114
SCO1206	GO:0003824;GO:0008152;GO:0009058;GO:0016747
SCO1207	GO:0005506;GO:0016705;GO:0020037;GO:0055114
SCO1208	GO:0045735
SCO1209	GO:0003995;GO:0008152;GO:0016627;GO:0050660;GO:0055114
SCO1210	GO:0003677
SCO1212	GO:0005524;GO:0009058
SCO1213	GO:0003824;GO:0009236
SCO1214	GO:0003872;GO:0005524;GO:0006002;GO:0006096;GO:0008443;GO:0047334
SCO1217	GO:0000155;GO:0000160;GO:0016021
SCO1218	GO:0005215;GO:0006810;GO:0016020;GO:0055085
SCO1220	GO:0000160;GO:0003677
SCO1221	GO:0003700;GO:0005622;GO:0006355;GO:0043565
SCO1223	GO:0003824;GO:0008483;GO:0030170
SCO1224	GO:0005975;GO:0016853
SCO1225	GO:0005215;GO:0016021;GO:0022857;GO:0055085
SCO1226	GO:0004222;GO:0004553;GO:0005576;GO:0005975;GO:0030246
SCO1227	GO:0003677;GO:0043565
SCO1228	GO:0008152;GO:0016746
SCO1231	GO:0006807;GO:0016151
SCO1232	GO:0003924;GO:0006807;GO:0016151
SCO1233	GO:0006807;GO:0016151
SCO1234	GO:0006807;GO:0009039;GO:0016151;GO:0016787;GO:0016810
SCO1236	GO:0009039;GO:0016151;GO:0019627;GO:0043419
SCO1238	GO:0004252;GO:0006508
SCO1242	GO:0003677;GO:0043565
SCO1243	GO:0003824;GO:0008152;GO:0009058;GO:0016740;GO:0030170
SCO1244	GO:0003824;GO:0004076;GO:0009102;GO:0051536
SCO1245	GO:0003824;GO:0004015;GO:0008483;GO:0009102;GO:0030170
SCO1246	GO:0000287;GO:0004141;GO:0005524;GO:0009102
SCO1247	GO:0008152;GO:0008168
SCO1249	GO:0006355
SCO1250	GO:0008080
SCO1251	GO:0003824;GO:0016614;GO:0050660;GO:0055114
SCO1254	GO:0003824;GO:0004018;GO:0009152
SCO1258	GO:0005524;GO:0016887
SCO1259	GO:0000155;GO:0000160;GO:0016021;GO:0046983
SCO1260	GO:0000160;GO:0003677;GO:0006355
SCO1262	GO:0003677;GO:0003700;GO:0006355
SCO1263	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987
SCO1266	GO:0003824;GO:0008152
SCO1268	GO:0008152;GO:0016746
SCO1269	GO:0003824;GO:0008152
SCO1270	GO:0008152;GO:0016624
SCO1271	GO:0003824;GO:0004315;GO:0006633;GO:0008152
SCO1272	GO:0006633;GO:0031177
SCO1275	GO:0016491;GO:0055114
SCO1276	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987
SCO1279	GO:0008168;GO:0032259
SCO1280	GO:0004144;GO:0045017
SCO1281	GO:0016491;GO:0055114
SCO1282	GO:0010181;GO:0016491;GO:0055114
SCO1284	GO:0003824;GO:0008483;GO:0030170
SCO1286	GO:0008152;GO:0016627;GO:0050660;GO:0055114
SCO1289	GO:0003700;GO:0003824;GO:0006355;GO:0009058;GO:0030170
SCO1291	GO:0008270
SCO1293	GO:0008080
SCO1294	GO:0003824;GO:0030170
SCO1295	GO:0003700;GO:0005622;GO:0006355;GO:0043565
SCO1299	GO:0003700;GO:0005622;GO:0006355;GO:0043565
SCO1301	GO:0004519;GO:0006259;GO:0008408;GO:0016787
SCO1304	GO:0048037
SCO1306	GO:0005524;GO:0016887
SCO1308	GO:0016491;GO:0055114;GO:0071949
SCO1309	GO:0003700;GO:0006355
SCO1310	GO:0006812;GO:0008324;GO:0016021;GO:0055085
SCO1311	GO:0002161
SCO1312	GO:0003677;GO:0043565
SCO1313	GO:0016020;GO:0016021
SCO1314	GO:0016740
SCO1321	GO:0003746;GO:0003924;GO:0005525;GO:0005622;GO:0006414
SCO1322	GO:0005488
SCO1324	GO:0003824;GO:0008152;GO:0016747
SCO1326	GO:0016020;GO:0016311;GO:0050380
SCO1327	GO:0003824
SCO1330	GO:0003824;GO:0008152
SCO1331	GO:0003677;GO:0006355
SCO1332	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987
SCO1336	GO:0006807;GO:0016021;GO:0016410;GO:0016810;GO:0042158
SCO1337	GO:0016491
SCO1338	GO:0016491;GO:0055114;GO:0071949
SCO1339	GO:0003677
SCO1343	GO:0004844;GO:0006281;GO:0006284;GO:0016799
SCO1344	GO:0043190;GO:0055085
SCO1345	GO:0016491
SCO1346	GO:0016491
SCO1351	GO:0003677;GO:0005515;GO:0006355
SCO1352	GO:0004177;GO:0030145
SCO1353	GO:0003677;GO:0006355;GO:0043565
SCO1355	GO:0004252;GO:0006508
SCO1356	GO:0016020;GO:0016491;GO:0051537;GO:0055114
SCO1357	GO:0004733;GO:0010181;GO:0016491;GO:0055114
SCO1358	GO:0003700;GO:0006355
SCO1359	GO:0016020;GO:0016021
SCO1360	GO:0003700;GO:0003824;GO:0006355;GO:0009058;GO:0030170
SCO1361	GO:0010181;GO:0016491;GO:0055114
SCO1362	GO:0016020;GO:0016021
SCO1363	GO:0016020;GO:0016021
SCO1364	GO:0019538
SCO1367	GO:0005524;GO:0016887
SCO1368	GO:0016020
SCO1369	GO:0000155;GO:0000160;GO:0016021;GO:0016310;GO:0016772;GO:0046983
SCO1370	GO:0000160;GO:0003677;GO:0006355
SCO1371	GO:0003824;GO:0009058
SCO1372	GO:0016020
SCO1376	GO:0003677;GO:0006355
SCO1377	GO:0006810;GO:0030151
SCO1378	GO:0003824;GO:0004375;GO:0006544;GO:0006546;GO:0055114
SCO1380	GO:0003684;GO:0003887;GO:0006281
SCO1381	GO:0003677;GO:0006355
SCO1382	GO:0004518
SCO1383	GO:0003677;GO:0006355
SCO1384	GO:0005515
SCO1388	GO:0005975;GO:0009058;GO:0016779;GO:0016868;GO:0071704
SCO1389	GO:0008444;GO:0008654;GO:0016020;GO:0016021;GO:0016780
SCO1390	GO:0009401
SCO1391	GO:0003824;GO:0008965;GO:0009401;GO:0016310;GO:0016772
SCO1393	GO:0003824;GO:0006629;GO:0008152;GO:0030729
SCO1394	GO:0003824;GO:0004553;GO:0005975;GO:0030246
SCO1395	GO:0016787
SCO1396	GO:0005618;GO:0006508;GO:0008237;GO:0016805
SCO1402	GO:0004871;GO:0007165;GO:0016021
SCO1404	GO:0005515
SCO1405	GO:0005524;GO:0006457;GO:0006950;GO:0051082
SCO1410	GO:0003700;GO:0006355
SCO1411	GO:0005215;GO:0016021;GO:0055085
SCO1414	GO:0005515
SCO1417	GO:0003700;GO:0003824;GO:0006355;GO:0009058;GO:0030170
SCO1419	GO:0006629;GO:0008081
SCO1421	GO:0001000;GO:0045893
SCO1422	GO:0016020
SCO1424	GO:0016810
SCO1425	GO:0003700;GO:0005622;GO:0006355;GO:0043565
SCO1428	GO:0003995;GO:0008152;GO:0016627;GO:0050660;GO:0055114
SCO1429	GO:0004553;GO:0004568;GO:0005975;GO:0006032
SCO1430	GO:0003677
SCO1434	GO:0005515;GO:0005524
SCO1436	GO:0003824;GO:0016614;GO:0050660;GO:0055114
SCO1438	GO:0000105;GO:0000287;GO:0003879;GO:0005737
SCO1439	GO:0000105;GO:0004636
SCO1440	GO:0009231;GO:0009349
SCO1441	GO:0003935;GO:0008686;GO:0009231
SCO1442	GO:0016020;GO:0034257;GO:0034258
SCO1443	GO:0016491;GO:0055114
SCO1444	GO:0004553;GO:0004568;GO:0005576;GO:0005975;GO:0006032;GO:0030246
SCO1448	GO:0016021;GO:0055085
SCO1450	GO:0005215;GO:0006810;GO:0016020;GO:0055085
SCO1451	GO:0004553;GO:0030245
SCO1453	GO:0016705;GO:0055114
SCO1454	GO:0016491;GO:0055114
SCO1455	GO:0006807;GO:0016810
SCO1457	GO:0016021;GO:0055085
SCO1458	GO:0003700;GO:0005622;GO:0006355;GO:0043565
SCO1459	GO:0003333;GO:0015171;GO:0016020
SCO1461	GO:0003824;GO:0003938;GO:0006164;GO:0055114
SCO1463	GO:0030246
SCO1464	GO:0003824;GO:0004750;GO:0005975;GO:0006098;GO:0008152;GO:0016857
SCO1465	GO:0005215;GO:0006810
SCO1468	GO:0004672;GO:0005515;GO:0005524;GO:0006468
SCO1469	GO:0004252;GO:0006508
SCO1471	GO:0003676;GO:0003677;GO:0015074
SCO1472	GO:0003723;GO:0006355;GO:0008168
SCO1473	GO:0003824;GO:0004479;GO:0009058;GO:0016742;GO:0071951
SCO1475	GO:0003677;GO:0004003;GO:0006260;GO:0032508
SCO1476	GO:0004478;GO:0005524;GO:0006556
SCO1477	GO:0003824;GO:0004632;GO:0004633;GO:0010181;GO:0015937;GO:0015941
SCO1478	GO:0003677;GO:0003899;GO:0006351
SCO1479	GO:0004385;GO:0006163
SCO1480	GO:0003676
SCO1481	GO:0003824;GO:0004590;GO:0006207;GO:0006221;GO:0008152
SCO1482	GO:0003824;GO:0004152;GO:0005737;GO:0006207;GO:0016020;GO:0016627;GO:0055114
SCO1483	GO:0003824;GO:0005524;GO:0006807
SCO1484	GO:0004088;GO:0006207;GO:0006541
SCO1486	GO:0004151;GO:0006221;GO:0016787;GO:0016810;GO:0016812;GO:0046872
SCO1487	GO:0004070;GO:0006207;GO:0006520;GO:0016597;GO:0016743
SCO1488	GO:0009116
SCO1489	GO:0003677;GO:0043565
SCO1490	GO:0003723;GO:0006353;GO:0006355
SCO1491	GO:0003746;GO:0005737;GO:0006414;GO:0043043
SCO1492	GO:0016787
SCO1494	GO:0003856;GO:0005737;GO:0009073;GO:0016838
SCO1496	GO:0004107;GO:0009073
SCO1498	GO:0004764;GO:0055114
SCO1500	GO:0003676;GO:0006139;GO:0006364
SCO1501	GO:0000166;GO:0003676;GO:0004813;GO:0005524;GO:0005737;GO:0006419;GO:0016876;GO:0043039
SCO1504	GO:0005515
SCO1505	GO:0003723;GO:0003735;GO:0005622;GO:0006412;GO:0015935;GO:0019843
SCO1506	GO:0003677;GO:0005524;GO:0006260
SCO1508	GO:0004821;GO:0005524;GO:0005737;GO:0006427
SCO1510	GO:0000413;GO:0003755;GO:0006457
SCO1513	GO:0008152;GO:0015969;GO:0016597
SCO1514	GO:0003999;GO:0005737;GO:0006168;GO:0009116
SCO1515	GO:0006886;GO:0015450
SCO1516	GO:0006886;GO:0015450
SCO1518	GO:0003677;GO:0005524;GO:0006281;GO:0006310;GO:0009378
SCO1519	GO:0003677;GO:0003678;GO:0005524;GO:0006281;GO:0006310;GO:0009378;GO:0009379
SCO1520	GO:0003676;GO:0004520;GO:0006281;GO:0006310;GO:0008821
SCO1522	GO:0004359;GO:0042819;GO:0042823
SCO1523	GO:0003824;GO:0008152;GO:0042819;GO:0042823
SCO1526	GO:0016021;GO:0016740
SCO1527	GO:0008654;GO:0016020;GO:0016780
SCO1528	GO:0003924;GO:0005525
SCO1530	GO:0003824
SCO1531	GO:0000166;GO:0004812;GO:0004829;GO:0005524;GO:0005737;GO:0006418;GO:0006435;GO:0016876;GO:0043039
SCO1534	GO:0003676
SCO1537	GO:0006810;GO:0016020
SCO1538	GO:0006810;GO:0016020
SCO1539	GO:0005215;GO:0006810
SCO1541	GO:0051301
SCO1545	GO:0008080
SCO1546	GO:0003824;GO:0008152
SCO1547	GO:0009058
SCO1551	GO:0004672;GO:0005524;GO:0006468
SCO1552	GO:0003723;GO:0006396;GO:0008173
SCO1553	GO:0006779;GO:0008152;GO:0008168;GO:0019354;GO:0043115;GO:0055114
SCO1554	GO:0008939;GO:0009163;GO:0009236;GO:0016491
SCO1555	GO:0008152;GO:0008168;GO:0008276;GO:0009236
SCO1556	GO:0008080
SCO1558	GO:0006810;GO:0016020
SCO1559	GO:0005524;GO:0016887
SCO1560	GO:0008152;GO:0016787
SCO1563	GO:0008080
SCO1564	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987
SCO1565	GO:0006629;GO:0008081
SCO1566	GO:0008152;GO:0016746
SCO1567	GO:0016021;GO:0055085
SCO1568	GO:0003677
SCO1570	GO:0003824;GO:0004056;GO:0042450
SCO1571	GO:0004733;GO:0010181;GO:0016491;GO:0055114
SCO1572	GO:0016740
SCO1573	GO:0016491;GO:0055114
SCO1574	GO:0010181;GO:0016020
SCO1575	GO:0017013
SCO1576	GO:0003700;GO:0006355;GO:0006525;GO:0034618;GO:0051259
SCO1577	GO:0003824;GO:0006525;GO:0008483;GO:0030170
SCO1578	GO:0003991;GO:0005737;GO:0006526;GO:0006561
SCO1579	GO:0004358;GO:0006526
SCO1580	GO:0003942;GO:0005737;GO:0006526;GO:0008652;GO:0016620;GO:0046983;GO:0051287;GO:0055114
SCO1583	GO:0016798;GO:0046373;GO:0046556
SCO1586	GO:0008080
SCO1587	GO:0003700;GO:0003824;GO:0006355;GO:0009058;GO:0030170
SCO1588	GO:0016020;GO:0016021
SCO1590	GO:0005975
SCO1591	GO:0003857;GO:0006631;GO:0016491;GO:0055114;GO:0070403
SCO1592	GO:0016787
SCO1593	GO:0005515
SCO1594	GO:0000049;GO:0000287;GO:0003723;GO:0004826;GO:0005524;GO:0005737;GO:0006432;GO:0008033
SCO1595	GO:0000049;GO:0000166;GO:0004812;GO:0004826;GO:0005524;GO:0005737;GO:0006432;GO:0043039
SCO1596	GO:0000155;GO:0007165;GO:0016310;GO:0016772
SCO1597	GO:0003723;GO:0006396;GO:0008168;GO:0008173
SCO1598	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0019843
SCO1599	GO:0003735;GO:0005622;GO:0005840;GO:0006412
SCO1600	GO:0003743;GO:0006413
SCO1603	GO:0003677;GO:0004803;GO:0006313
SCO1607	GO:0004252;GO:0006508
SCO1612	GO:0008152;GO:0016491;GO:0016620;GO:0055114
SCO1613	GO:0003824;GO:0004356;GO:0006542;GO:0006807
SCO1614	GO:0003700;GO:0006355
SCO1615	GO:0006541;GO:0016787
SCO1616	GO:0003700;GO:0006355
SCO1617	GO:0016021;GO:0055085
SCO1619	GO:0003677;GO:0043565
SCO1620	GO:0005215;GO:0006810;GO:0016020
SCO1621	GO:0005524;GO:0016020;GO:0016887;GO:0031460
SCO1622	GO:0003677;GO:0003824
SCO1623	GO:0016491;GO:0055114
SCO1624	GO:0008080
SCO1625	GO:0001522;GO:0003723;GO:0009451;GO:0009982
SCO1626	GO:0005506;GO:0016705;GO:0020037;GO:0055114
SCO1631	GO:0003676;GO:0005524
SCO1632	GO:0016021
SCO1633	GO:0005886;GO:0008565;GO:0009306;GO:0015031;GO:0016021
SCO1638	GO:0006457
SCO1639	GO:0006457
SCO1640	GO:0010498;GO:0016879;GO:0019941
SCO1641	GO:0016021;GO:0055085
SCO1642	GO:0003677;GO:0006355
SCO1643	GO:0004298;GO:0005839;GO:0019773;GO:0051603
SCO1644	GO:0004175;GO:0004298;GO:0005839;GO:0010498;GO:0051603
SCO1647	GO:0008233;GO:0010498;GO:0016811;GO:0019941
SCO1648	GO:0000502;GO:0005524;GO:0010498;GO:0016887;GO:0019941
SCO1649	GO:0005506;GO:0009055
SCO1651	GO:0016429;GO:0030488;GO:0031515
SCO1652	GO:0004222;GO:0006508
SCO1653	GO:0003677;GO:0004518
SCO1654	GO:0000160;GO:0003677;GO:0006355
SCO1655	GO:0043190;GO:0055085
SCO1656	GO:0008152;GO:0016787
SCO1657	GO:0005622;GO:0008270;GO:0008705;GO:0008898;GO:0009086;GO:0031419;GO:0042558;GO:0044237;GO:0046872
SCO1658	GO:0003677;GO:0006355
SCO1659	GO:0005215;GO:0006810;GO:0016020
SCO1660	GO:0004370;GO:0005975;GO:0006072;GO:0016773
SCO1661	GO:0004368;GO:0006072;GO:0009331;GO:0016491;GO:0055114
SCO1663	GO:0010125;GO:0035446
SCO1667	GO:0006824;GO:0015087;GO:0015095;GO:0015693;GO:0016020;GO:0030001;GO:0046873;GO:0055085
SCO1669	GO:0016705;GO:0055114
SCO1676	GO:0006508;GO:0008152;GO:0008237;GO:0016787
SCO1678	GO:0003700;GO:0006355
SCO1679	GO:0005975;GO:0016301
SCO1680	GO:0015128;GO:0016020;GO:0035429
SCO1681	GO:0016491
SCO1682	GO:0055114
SCO1683	GO:0003333;GO:0006810;GO:0015171;GO:0016020;GO:0055085
SCO1684	GO:0005515
SCO1686	GO:0016787;GO:0016817
SCO1690	GO:0003995;GO:0008152;GO:0016627;GO:0050660;GO:0055114
SCO1691	GO:0003677
SCO1692	GO:0016491
SCO1694	GO:0016787;GO:0016811;GO:0017000
SCO1696	GO:0003824;GO:0016740;GO:0019475
SCO1697	GO:0003677;GO:0006355;GO:0006979;GO:0051537
SCO1699	GO:0003677
SCO1701	GO:0003995;GO:0008152;GO:0016627;GO:0050660;GO:0055114
SCO1702	GO:0003677;GO:0045892;GO:0046677
SCO1703	GO:0003700;GO:0006355
SCO1704	GO:0016020;GO:0016021
SCO1705	GO:0008270;GO:0016491;GO:0055114
SCO1706	GO:0008152;GO:0016491;GO:0016620;GO:0055114
SCO1707	GO:0005215;GO:0005524;GO:0006810;GO:0016820;GO:0016887;GO:0043190
SCO1709	GO:0005215;GO:0016021;GO:0055085
SCO1710	GO:0015137;GO:0015746;GO:0016021;GO:0055085
SCO1711	GO:0016491;GO:0030151;GO:0055114
SCO1712	GO:0003677
SCO1715	GO:0004411;GO:0006559;GO:0006570;GO:0006572;GO:0055114
SCO1716	GO:0003677;GO:0003700;GO:0006355
SCO1718	GO:0003677;GO:0045892
SCO1719	GO:0005524;GO:0016887;GO:0043215;GO:1900753
SCO1720	GO:0006810;GO:0016020
SCO1722	GO:0005886;GO:0016021
SCO1723	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987
SCO1724	GO:0004672;GO:0005524;GO:0006468
SCO1726	GO:0005524
SCO1728	GO:0003700;GO:0006355
SCO1729	GO:0008080
SCO1731	GO:0008152;GO:0008168
SCO1733	GO:0008080
SCO1735	GO:0016787
SCO1736	GO:0003700;GO:0006355
SCO1738	GO:0003684;GO:0006281
SCO1739	GO:0003677;GO:0003824;GO:0003887;GO:0006260;GO:0008408
SCO1741	GO:0004252;GO:0005576;GO:0006508;GO:0008236
SCO1742	GO:0005524;GO:0016887
SCO1744	GO:0000155;GO:0000160;GO:0016021;GO:0046983
SCO1745	GO:0000160;GO:0003677;GO:0006355
SCO1746	GO:0004252;GO:0005576;GO:0006508;GO:0008236
SCO1749	GO:0090529
SCO1750	GO:0003995;GO:0008152;GO:0016627;GO:0050660;GO:0055114
SCO1751	GO:0016021;GO:0055085
SCO1758	GO:0005525
SCO1759	GO:0008152;GO:0016746
SCO1760	GO:0004127;GO:0005524;GO:0006139
SCO1761	GO:0004665;GO:0006571;GO:0008977;GO:0055114
SCO1763	GO:0016020;GO:0016491;GO:0051537;GO:0055114
SCO1767	GO:0016787
SCO1768	GO:0001522;GO:0003723;GO:0009451;GO:0009982;GO:0016866
SCO1769	GO:0051304
SCO1773	GO:0000286;GO:0016491;GO:0042853;GO:0055114
SCO1774	GO:0005515;GO:0043531
SCO1775	GO:0016787
SCO1776	GO:0003883;GO:0006221
SCO1777	GO:0003824
SCO1778	GO:0003677
SCO1780	GO:0005524;GO:0006281;GO:0006310
SCO1781	GO:0003951;GO:0006741;GO:0008152;GO:0019674
SCO1782	GO:0003723;GO:0008168;GO:0032259
SCO1785	GO:0005524;GO:0016887
SCO1786	GO:0005215;GO:0016020
SCO1787	GO:0005215;GO:0016020
SCO1790	GO:0005515
SCO1792	GO:0003677;GO:0003824;GO:0003905;GO:0006284
SCO1796	GO:0016020
SCO1798	GO:0005524;GO:0016887
SCO1801	GO:0000160;GO:0003677;GO:0006355
SCO1802	GO:0000155;GO:0000160;GO:0005515;GO:0016021;GO:0016310;GO:0016772;GO:0046983
SCO1803	GO:0016491
SCO1804	GO:0008616;GO:0016740;GO:0016853
SCO1806	GO:0005515;GO:0005524;GO:0016020;GO:0016887
SCO1808	GO:0004647;GO:0006564;GO:0008152;GO:0016791
SCO1812	GO:0016021;GO:0055085
SCO1813	GO:0003700;GO:0006355
SCO1814	GO:0004318;GO:0006633;GO:0055114
SCO1815	GO:0004316;GO:0006633;GO:0016491;GO:0051287;GO:0055114
SCO1816	GO:0006508;GO:0008237
SCO1817	GO:0006508;GO:0008237
SCO1818	GO:0000166;GO:0003723;GO:0004812;GO:0004831;GO:0005524;GO:0005737;GO:0006418;GO:0006437
SCO1819	GO:0016021
SCO1821	GO:0003824;GO:0006777;GO:0019008;GO:0046872;GO:0051536;GO:0051539
SCO1822	GO:0005215;GO:0006810;GO:0016020;GO:0055085
SCO1824	GO:0004252;GO:0006508
SCO1826	GO:0016021
SCO1827	GO:0003676;GO:0003677;GO:0003887;GO:0006260
SCO1829	GO:0016020
SCO1830	GO:0003824
SCO1838	GO:0003824;GO:0008152
SCO1840	GO:0005524;GO:0016887
SCO1845	GO:0005315;GO:0006817;GO:0016020
SCO1847	GO:0009236;GO:0016021;GO:0048472
SCO1848	GO:0003824;GO:0009236
SCO1849	GO:0009058;GO:0009236;GO:0051116
SCO1851	GO:0005524;GO:0008817;GO:0009236
SCO1852	GO:0003824;GO:0009236;GO:0042242
SCO1853	GO:0008152;GO:0008168;GO:0008757;GO:0009236;GO:0030788
SCO1854	GO:0016020;GO:0030001;GO:0046873;GO:0055085
SCO1855	GO:0008152;GO:0008168;GO:0009236;GO:0046026
SCO1856	GO:0008152;GO:0008168;GO:0008276;GO:0009236
SCO1857	GO:0008152;GO:0008168;GO:0009236
SCO1858	GO:0009236;GO:0016852
SCO1859	GO:0003824;GO:0009058;GO:0030170
SCO1861	GO:0016787;GO:0016810
SCO1864	GO:0008080;GO:0019491;GO:0033816
SCO1865	GO:0003824;GO:0008483;GO:0009058;GO:0019491;GO:0030170;GO:0047307
SCO1866	GO:0019491;GO:0033990
SCO1867	GO:0016706;GO:0055114
SCO1868	GO:0003824
SCO1869	GO:0015035
SCO1871	GO:0008152;GO:0016491;GO:0016620;GO:0055114
SCO1872	GO:0003677;GO:0006355
SCO1873	GO:0008080
SCO1874	GO:0003677;GO:0006355
SCO1875	GO:0008658
SCO1876	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987
SCO1879	GO:0005618;GO:0030599;GO:0042545
SCO1882	GO:0005215;GO:0006810
SCO1883	GO:0004553;GO:0005975
SCO1885	GO:0016491
SCO1886	GO:0006810;GO:0016020
SCO1887	GO:0006810;GO:0016020
SCO1888	GO:0003824;GO:0008152
SCO1889	GO:0003824;GO:0008152;GO:0016829
SCO1890	GO:0003700;GO:0006355
SCO1891	GO:0046872
SCO1892	GO:0016021;GO:0055085
SCO1895	GO:0003824;GO:0008152;GO:0016052;GO:0016829;GO:0047448
SCO1896	GO:0003824;GO:0050662
SCO1897	GO:0003700;GO:0005622;GO:0006355
SCO1898	GO:0005215;GO:0006810
SCO1899	GO:0006810;GO:0016020
SCO1900	GO:0006810;GO:0016020
SCO1901	GO:0016491;GO:0055114
SCO1903	GO:0006950
SCO1904	GO:0003677
SCO1905	GO:0003723
SCO1906	GO:0005515
SCO1912	GO:0003824;GO:0008152;GO:0008840;GO:0009089;GO:0016829
SCO1915	GO:0005488
SCO1916	GO:0008666
SCO1917	GO:0003677
SCO1918	GO:0016021
SCO1920	GO:0005506;GO:0016226;GO:0051536
SCO1921	GO:0003824;GO:0006534;GO:0030170;GO:0031071
SCO1922	GO:0005524;GO:0006810;GO:0016887
SCO1923	GO:0016491;GO:0051537;GO:0055114
SCO1924	GO:0016226
SCO1925	GO:0016226
SCO1926	GO:0003700;GO:0006355
SCO1927	GO:0046353;GO:0046677
SCO1928	GO:0005524;GO:0016887
SCO1929	GO:0006810;GO:0016020
SCO1930	GO:0006784;GO:0016021;GO:0016627;GO:0055114
SCO1931	GO:0016779
SCO1932	GO:0016787
SCO1934	GO:0004659;GO:0008495;GO:0016021;GO:0048034
SCO1935	GO:0003824;GO:0004802;GO:0008152
SCO1936	GO:0003824;GO:0004801;GO:0005737;GO:0005975;GO:0006098
SCO1937	GO:0004345;GO:0006006;GO:0050661;GO:0055114
SCO1939	GO:0005975;GO:0006098;GO:0017057
SCO1942	GO:0004347;GO:0006094;GO:0006096
SCO1943	GO:0001000;GO:0045893;GO:0046872
SCO1944	GO:0009306;GO:0015450;GO:0016021
SCO1945	GO:0003824;GO:0004807;GO:0006096;GO:0008152
SCO1946	GO:0004618;GO:0006096
SCO1947	GO:0006006;GO:0016620;GO:0050661;GO:0051287;GO:0055114
SCO1948	GO:0004181;GO:0006508;GO:0008233;GO:0008270
SCO1950	GO:0043937
SCO1952	GO:0005524
SCO1953	GO:0003677;GO:0005515;GO:0005737;GO:0006281;GO:0009380;GO:0009381
SCO1955	GO:0016020;GO:0016491;GO:0051537;GO:0055114
SCO1956	GO:0003677;GO:0006355
SCO1957	GO:0016773
